Name,Team,BB%,O-Swing% (sc),NameASCII,PlayerId,MLBAMID
"Otto Lopez","MIA",0.074074074,0.28056112,"Otto Lopez",19608,672640
"Francisco Alvarez","NYM",0.097472924,0.28006873,"Francisco Alvarez",26121,682626
"Carlos Narváez","BOS",0.085201793,0.27962085,"Carlos Narvaez",19722,665966
"Robert Hassell III","WSN",0.038834951,0.27945205,"Robert Hassell III",27482,690987
"Matt Wallner","MIN",0.117346938,0.27929155,"Matt Wallner",26466,670242
"Javier Sanoja","MIA",0.055555555,0.27911275,"Javier Sanoja",28253,691594
"Oneil Cruz","PIT",0.117647058,0.27768595,"Oneil Cruz",21711,665833
"Zach McKinstry","DET",0.090019569,0.27687296,"Zach McKinstry",19392,656716
"Max Kepler","PHI",0.101265822,0.27586207,"Max Kepler",12144,596146
"Gunnar Henderson","BAL",0.095238095,0.27519052,"Gunnar Henderson",26289,683002
"Daylen Lile","WSN",0.059829059,0.27467105,"Daylen Lile",29995,695734
"Jordan Beck","COL",0.073129251,0.27409372,"Jordan Beck",31431,687597
"Eli White","ATL",0.040590405,0.27356322,"Eli White",19346,642201
"Bryan Reynolds","PIT",0.087155963,0.27343145,"Bryan Reynolds",19326,668804
"Ryan O'Hearn","- - -",0.106617647,0.27210884,"Ryan O'Hearn",16442,656811
"Francisco Lindor","NYM",0.088797814,0.27206419,"Francisco Lindor",12916,596019
"Ke'Bryan Hayes","- - -",0.063157894,0.27202323,"Ke'Bryan Hayes",18577,663647
"Myles Straw","TOR",0.06354515,0.27155172,"Myles Straw",17620,664702
"Pete Alonso","NYM",0.086036671,0.27074236,"Pete Alonso",19251,624413
"Masataka Yoshida","BOS",0.048780487,0.27062706,"Masataka Yoshida",31837,807799
"Sal Frelick","MIL",0.079124579,0.27049953,"Sal Frelick",29622,686217
"Willy Adames","SFG",0.116618075,0.27030913,"Willy Adames",15986,642715
"Jorge Polanco","SEA",0.080152671,0.27002967,"Jorge Polanco",13152,593871
"Colt Keith","DET",0.102564102,0.26996625,"Colt Keith",27899,690993
"Carlos Correa","- - -",0.077054794,0.2694718,"Carlos Correa",14162,621043
"Daniel Schneemann","CLE",0.090047393,0.26946848,"Daniel Schneemann",25180,682177
"Kyle Higashioka","TEX",0.061162079,0.26923077,"Kyle Higashioka",5517,543309
"Eric Wagaman","MIA",0.062256809,0.26831897,"Eric Wagaman",23395,676572
"Nolan Gorman","STL",0.116915422,0.2681638,"Nolan Gorman",22263,669357
"Josh Bell","WSN",0.106941838,0.26716839,"Josh Bell",13145,605137
"Josh Smith","TEX",0.097690941,0.26666667,"Josh Smith",26396,669701
"Brent Rooker","ATH",0.092989985,0.26661454,"Brent Rooker",19627,667670
"Dylan Crews","WSN",0.074534161,0.26603774,"Dylan Crews",33541,686611
"Bo Naylor","CLE",0.108695652,0.26572529,"Bo Naylor",21865,666310
"Will Benson","CIN",0.063241106,0.26315789,"Will Benson",21853,666181
"Christian Yelich","MIL",0.099378881,0.26250962,"Christian Yelich",11477,592885
"JJ Bleday","ATH",0.104651162,0.26226994,"JJ Bleday",26368,668709
"Jordan Westburg","BAL",0.048295454,0.2615894,"Jordan Westburg",27815,676059
"Shohei Ohtani","LAD",0.149931224,0.2615597,"Shohei Ohtani",19755,660271
"Jazz Chisholm Jr.","NYY",0.109227871,0.26124402,"Jazz Chisholm Jr.",20454,665862
"Matt McLain","CIN",0.095320623,0.26010545,"Matt McLain",29695,680574
"Tyler Stephenson","CIN",0.108187134,0.25981873,"Tyler Stephenson",17988,663886
"Giancarlo Stanton","NYY",0.103202846,0.25950413,"Giancarlo Stanton",4949,519317
"Alec Bohm","PHI",0.057539682,0.25902062,"Alec Bohm",21618,664761
"Paul Goldschmidt","NYY",0.06741573,0.25882353,"Paul Goldschmidt",9218,502671
"Ketel Marte","ARI",0.115107913,0.25837321,"Ketel Marte",13613,606466
"Sean Murphy","ATL",0.103857566,0.25769854,"Sean Murphy",19352,669221
"Blaze Alexander","ARI",0.082706766,0.25754527,"Blaze Alexander",23789,677942
"Gabriel Moreno","ARI",0.093851132,0.2571912,"Gabriel Moreno",22664,672515
"Miguel Rojas","LAD",0.075709779,0.25641026,"Miguel Rojas",7802,500743
"Nolan Jones","CLE",0.096774193,0.25471698,"Nolan Jones",20529,666134
"Nacho Alvarez Jr.","ATL",0.057692307,0.25418994,"Nacho Alvarez Jr.",31765,805373
"Spencer Steer","CIN",0.089788732,0.25317693,"Spencer Steer",26323,668715
"Jake Fraley","- - -",0.115207373,0.25304136,"Jake Fraley",19260,641584
"Kyle Isbel","KCR",0.056234718,0.25274725,"Kyle Isbel",21614,664728
"Tyler Freeman","COL",0.079439252,0.25257732,"Tyler Freeman",22532,671289
"Christian Vázquez","MIN",0.084112149,0.2525,"Christian Vazquez",9774,543877
"Joc Pederson","TEX",0.111111111,0.25247525,"Joc Pederson",11899,592626
"Spencer Horwitz","PIT",0.107055961,0.25220681,"Spencer Horwitz",26477,687462
"Anthony Volpe","NYY",0.072147651,0.25204732,"Anthony Volpe",27647,683011
"Nolan Schanuel","LAA",0.104609929,0.25176234,"Nolan Schanuel",33189,694384
"Rafael Devers","- - -",0.153635116,0.25161708,"Rafael Devers",17350,646240
"Carlos Santana","- - -",0.109704641,0.25075226,"Carlos Santana",2396,467793
"Randy Arozarena","SEA",0.090267983,0.25,"Randy Arozarena",19290,668227
"Ramón Laureano","- - -",0.071721311,0.24863089,"Ramon Laureano",17128,657656
"Masyn Winn","STL",0.063314711,0.24799197,"Masyn Winn",27479,691026
"James Wood","WSN",0.123367198,0.24710145,"James Wood",29518,695578
"William Contreras","MIL",0.127465857,0.24636511,"William Contreras",20503,661388
"Xavier Edwards","MIA",0.079159935,0.24537488,"Xavier Edwards",22266,669364
"Brendan Donovan","STL",0.081553398,0.24519774,"Brendan Donovan",24679,680977
"Dylan Moore","- - -",0.082304526,0.24498886,"Dylan Moore",18042,664238
"Jorge Soler","LAA",0.088888888,0.24444444,"Jorge Soler",14221,624585
"Mike Tauchman","CHW",0.116883116,0.24400564,"Mike Tauchman",15274,643565
"Cedric Mullins","- - -",0.100401606,0.24329897,"Cedric Mullins",17929,656775
"Dansby Swanson","CHC",0.072868217,0.24247635,"Dansby Swanson",18314,621020
"Marcus Semien","TEX",0.093632958,0.24168297,"Marcus Semien",12533,543760
"Santiago Espinal","CIN",0.06402439,0.24108659,"Santiago Espinal",19997,669289
"Victor Scott II","STL",0.090712742,0.24103832,"Victor Scott II",31349,687363
"Ryan McMahon","- - -",0.119453924,0.24027658,"Ryan McMahon",15112,641857
"Brett Baty","NYM",0.076388888,0.23994975,"Brett Baty",26123,683146
"Dane Myers","MIA",0.069069069,0.23976608,"Dane Myers",22054,667472
"Nathaniel Lowe","- - -",0.101806239,0.23970346,"Nathaniel Lowe",19566,663993
"Colton Cowser","BAL",0.075,0.23955432,"Colton Cowser",29591,681297
"Parker Meadows","DET",0.098591549,0.23902439,"Parker Meadows",23800,678009
"Cole Young","SEA",0.108949416,0.23819302,"Cole Young",31680,702284
"Jake Meyers","HOU",0.081364829,0.23737374,"Jake Meyers",20308,676694
"Matt Olson","ATL",0.125690607,0.23720026,"Matt Olson",14344,621566
"Nick Allen","ATL",0.07451923,0.23646724,"Nick Allen",22277,669397
"Jared Triolo","PIT",0.103723404,0.23633678,"Jared Triolo",25807,669707
"Corey Seager","TEX",0.130337078,0.23616236,"Corey Seager",13624,608369
"Jackson Holliday","BAL",0.086286594,0.23603604,"Jackson Holliday",31781,702616
"Brice Turang","MIL",0.100151745,0.23590151,"Brice Turang",22186,668930
"Bryson Stott","PHI",0.096428571,0.23566308,"Bryson Stott",26294,681082
"Yoán Moncada","LAA",0.110726643,0.23508137,"Yoan Moncada",17232,660162
"Michael Conforto","LAD",0.115226337,0.23458038,"Michael Conforto",16376,624424
"Brandon Nimmo","NYM",0.076687116,0.2345679,"Brandon Nimmo",12927,607043
"Iván Herrera","STL",0.095132743,0.23368921,"Ivan Herrera",20599,671056
"Michael Busch","CHC",0.094594594,0.23255814,"Michael Busch",26319,683737
"Jurickson Profar","ATL",0.129380053,0.23195876,"Jurickson Profar",10815,595777
"Fernando Tatis Jr.","SDP",0.128798842,0.23042169,"Fernando Tatis Jr.",19709,665487
"Xander Bogaerts","SDP",0.086956521,0.22996878,"Xander Bogaerts",12161,593428
"Ryan Jeffers","MIN",0.10775862,0.22984749,"Ryan Jeffers",24618,680777
"Jung Hoo Lee","SFG",0.07617504,0.22966507,"Jung Hoo Lee",33824,808982
"Isaac Paredes","HOU",0.114155251,0.22936763,"Isaac Paredes",20036,670623
"Steven Kwan","CLE",0.079365079,0.22847949,"Steven Kwan",24610,680757
"Yandy Díaz","TBR",0.087557603,0.2278157,"Yandy Diaz",16578,650490
"Joey Bart","PIT",0.120481927,0.22773723,"Joey Bart",21524,663698
"Kyle Teel","CHW",0.124579124,0.22751323,"Kyle Teel",33549,691019
"Adley Rutschman","BAL",0.109589041,0.22513812,"Adley Rutschman",26288,668939
"Evan Carter","TEX",0.086363636,0.22465753,"Evan Carter",27790,694497
"Alex Verdugo","ATL",0.065727699,0.22427441,"Alex Verdugo",17027,657077
"Mookie Betts","LAD",0.092006033,0.22393162,"Mookie Betts",13611,605141
"Carson Kelly","CHC",0.106888361,0.22365039,"Carson Kelly",13620,608348
"Aaron Judge","NYY",0.182621502,0.22296793,"Aaron Judge",15640,592450
"Kristian Campbell","BOS",0.110266159,0.22222222,"Kristian Campbell",33644,692225
"Victor Caratini","HOU",0.059585492,0.221875,"Victor Caratini",14968,605170
"Nick Kurtz","ATH",0.128834355,0.22186837,"Nick Kurtz",35110,701762
"Luis Urías","ATH",0.093939393,0.22071307,"Luis Urias",16622,649966
"J.P. Crawford","SEA",0.113149847,0.22016129,"J.P. Crawford",15491,641487
"Ronald Acuña Jr.","ATL",0.172330097,0.22009569,"Ronald Acuna Jr.",18401,660670
"Marcell Ozuna","ATL",0.158783783,0.21923937,"Marcell Ozuna",10324,542303
"Wyatt Langford","TEX",0.129144851,0.21885813,"Wyatt Langford",33333,694671
"Chase Meidroth","CHW",0.08910891,0.21875,"Chase Meidroth",31580,805367
"Kyle Schwarber","PHI",0.14917127,0.21860768,"Kyle Schwarber",16478,656941
"Caleb Durbin","MIL",0.059288537,0.21836228,"Caleb Durbin",29646,702332
"Mike Yastrzemski","- - -",0.129032258,0.21779425,"Mike Yastrzemski",14854,573262
"Edgar Quero","CHW",0.079404466,0.21714286,"Edgar Quero",28022,700337
"Heriberto Hernández","MIA",0.105442176,0.21611722,"Heriberto Hernandez",24878,681715
"Max Muncy","LAD",0.164948453,0.21605667,"Max Muncy",13301,571970
"Lars Nootbaar","STL",0.109777015,0.21492007,"Lars Nootbaar",21454,663457
"Jacob Young","WSN",0.074175824,0.21477663,"Jacob Young",29931,696285
"Gavin Lux","CIN",0.111332007,0.21414141,"Gavin Lux",19955,666158
"Pavin Smith","ARI",0.142361111,0.21367521,"Pavin Smith",19892,656976
"Taylor Ward","LAA",0.113122171,0.21296296,"Taylor Ward",17548,621493
"Luke Keaschall","MIN",0.091787439,0.21288515,"Luke Keaschall",33321,807712
"Vladimir Guerrero Jr.","TOR",0.119117647,0.21199324,"Vladimir Guerrero Jr.",19611,665489
"Ben Rice","NYY",0.094339622,0.21187308,"Ben Rice",29576,700250
"Matt Chapman","SFG",0.13271028,0.21107927,"Matt Chapman",16505,656305
"Jake Cronenworth","SDP",0.133980582,0.2107796,"Jake Cronenworth",18036,630105
"Jake Bauers","MIL",0.14678899,0.21064815,"Jake Bauers",15194,641343
"Seiya Suzuki","CHC",0.10906298,0.21064815,"Seiya Suzuki",30116,673548
"Miguel Vargas","CHW",0.098418277,0.21047708,"Miguel Vargas",20178,678246
"Spencer Torkelson","DET",0.110939907,0.21004942,"Spencer Torkelson",27465,679529
"Edouard Julien","MIN",0.10576923,0.20979021,"Edouard Julien",27534,666397
"Ian Happ","CHC",0.131221719,0.20802005,"Ian Happ",17919,664023
"Max Schuemann","ATH",0.103286384,0.20460358,"Max Schuemann",24488,680474
"Dylan Carlson","BAL",0.087136929,0.20399113,"Dylan Carlson",20126,666185
"Maikel Garcia","KCR",0.093093093,0.2014197,"Maikel Garcia",22715,672580
"Alex Call","- - -",0.111801242,0.20101351,"Alex Call",19296,669743
"Danny Jansen","- - -",0.12462908,0.20095694,"Danny Jansen",16535,643376
"Davis Schneider","TOR",0.158590308,0.20037453,"Davis Schneider",23565,676914
"George Springer","TOR",0.11774744,0.19981584,"George Springer",12856,543807
"Mitch Garver","SEA",0.103448275,0.19962687,"Mitch Garver",15161,641598
"Mike Trout","LAA",0.15647482,0.19913043,"Mike Trout",10155,545361
"Rhys Hoskins","MIL",0.115853658,0.19850746,"Rhys Hoskins",16472,656555
"Roman Anthony","BOS",0.132013201,0.1968254,"Roman Anthony",31812,701350
"Jakob Marsee","MIA",0.094017094,0.1943734,"Jakob Marsee",31370,805300
"Will Smith","LAD",0.14678899,0.19376392,"Will Smith",19197,669257
"Jonathan India","KCR",0.095238095,0.19326065,"Jonathan India",21523,663697
"Geraldo Perdomo","ARI",0.130555555,0.19282511,"Geraldo Perdomo",22799,672695
"Taylor Walls","TBR",0.082018927,0.19281664,"Taylor Walls",22458,670764
"Andrew McCutchen","PIT",0.121597096,0.19256435,"Andrew McCutchen",9847,457705
"LaMonte Wade Jr.","- - -",0.111570247,0.18789144,"LaMonte Wade Jr.",18126,664774
"TJ Friedl","CIN",0.118248175,0.18780488,"TJ Friedl",19522,670770
"Alex Bregman","BOS",0.103030303,0.1875,"Alex Bregman",17678,608324
"Trent Grisham","NYY",0.141135972,0.18669131,"Trent Grisham",18564,663757
"Josh Rojas","CHW",0.090047393,0.18559557,"Josh Rojas",19734,668942
"Rob Refsnyder","BOS",0.114832535,0.18465228,"Rob Refsnyder",13770,608701
"Kyle Tucker","CHC",0.145728643,0.18299445,"Kyle Tucker",18345,663656
"Liam Hicks","MIA",0.11025641,0.17877907,"Liam Hicks",29844,689414
"Tommy Pham","PIT",0.111358574,0.17812062,"Tommy Pham",2967,502054
"Isaac Collins","MIL",0.1292517,0.17596035,"Isaac Collins",25477,686555
"Gleyber Torres","DET",0.135350318,0.17174083,"Gleyber Torres",16997,650402
"Juan Soto","NYM",0.177622377,0.16168478,"Juan Soto",20123,665742
"Jose Herrera","ARI",0.112745098,0.15263158,"Jose Herrera",17040,645444