"away_team","home_team","simulations","away_expected_runs_input","home_expected_runs_input","away_win_probability","home_win_probability","away_mean_runs","home_mean_runs","away_median_runs","home_median_runs","away_runs_p10","away_runs_p90","home_runs_p10","home_runs_p90","mean_total_runs","median_total_runs","total_runs_p10","total_runs_p90","one_run_probability","extra_innings_probability","home_margin_mean","projected_winner","simulation_method","game_id","game_date","game_time_utc","display_order","winner_probability","feature_game","input_completeness","lineup_status","starter_status","bullpen_status","park_status","weather_status","model_version","publication_status","input_status","home_win_probability_without_bullpen","bullpen_home_win_swing"
"Pittsburgh Pirates","New York Yankees",20000,4.74931421768046,4.84787289609744,0.4817,0.5183,4.85935,5.0035,5,5,2,8,2,8,9.86285,10,6,14,0.34255,0.13205,0.14415,"New York Yankees","independent_poisson_score_layer_v1","823518","2026-07-22","2026-07-22T17:05:00Z",1,0.5183,FALSE,1,"confirmed","matched","quality_and_current_usage","neutral_placeholder","available","scheduled_game_simulator_development_v1","development_uncalibrated","confirmed; matched; quality_and_current_usage; neutral_placeholder",0.4916,0.0267
"Baltimore Orioles","Boston Red Sox",20000,3.25151342321391,4.63992735404713,0.312,0.688,3.3777,4.7715,3,5,1,6,2,8,8.1492,8,5,12,0.33805,0.1274,1.3938,"Boston Red Sox","independent_poisson_score_layer_v1","824735","2026-07-22","2026-07-22T17:35:00Z",2,0.688,FALSE,1,"confirmed","matched","quality_and_current_usage","neutral_placeholder","available","scheduled_game_simulator_development_v1","development_uncalibrated","confirmed; matched; quality_and_current_usage; neutral_placeholder",0.6864,0.00159999999999993
"San Francisco Giants","Kansas City Royals",20000,5.1090299395125,3.63134151238168,0.6903,0.3097,5.23985,3.75465,5,4,2,8,1,6,8.9945,9,5,13,0.32095,0.1217,-1.4852,"San Francisco Giants","independent_poisson_score_layer_v1","824083","2026-07-22","2026-07-22T18:10:00Z",3,0.6903,FALSE,1,"confirmed","matched","quality_and_current_usage","neutral_placeholder","available","scheduled_game_simulator_development_v1","development_uncalibrated","confirmed; matched; quality_and_current_usage; neutral_placeholder",0.3586,-0.0489
"New York Mets","Milwaukee Brewers",20000,3.0530762838013,4.2046411413326,0.33405,0.66595,3.20675,4.37705,3,4,1,6,2,7,7.5838,7,4,11,0.35765,0.13835,1.1703,"Milwaukee Brewers","independent_poisson_score_layer_v1","823761","2026-07-22","2026-07-22T18:10:00Z",4,0.66595,FALSE,1,"confirmed","matched","quality_and_current_usage","neutral_placeholder","available","scheduled_game_simulator_development_v1","development_uncalibrated","confirmed; matched; quality_and_current_usage; neutral_placeholder",0.6726,-0.00664999999999993
"Washington Nationals","Colorado Rockies",20000,3.73703929864061,4.47959766740793,0.39455,0.60545,3.85415,4.61415,4,4,1,6.10000000000218,2,7,8.4683,8,5,12,0.36095,0.1373,0.76,"Colorado Rockies","independent_poisson_score_layer_v1","824327","2026-07-22","2026-07-22T19:10:00Z",5,0.60545,FALSE,1,"confirmed","matched","quality_and_current_usage","neutral_placeholder","available","scheduled_game_simulator_development_v1","development_uncalibrated","confirmed; matched; quality_and_current_usage; neutral_placeholder",0.5662,0.03925
"Athletics","Arizona Diamondbacks",20000,5.39905173102427,4.06547468233779,0.66115,0.33885,5.503,4.19915,5,4,3,9,2,7,9.70215,9,6,14,0.3219,0.1211,-1.30385,"Athletics","independent_poisson_score_layer_v1","825055","2026-07-22","2026-07-22T19:40:00Z",6,0.66115,FALSE,1,"confirmed","matched","quality_and_current_usage","neutral_placeholder","available","scheduled_game_simulator_development_v1","development_uncalibrated","confirmed; matched; quality_and_current_usage; neutral_placeholder",0.2904,0.04845
"Cincinnati Reds","Seattle Mariners",20000,3.61229175966267,5.39157253734485,0.2768,0.7232,3.72095,5.51385,4,5,1,6,3,9,9.2348,9,5,13,0.30655,0.1191,1.7929,"Seattle Mariners","independent_poisson_score_layer_v1","823110","2026-07-22","2026-07-22T19:40:00Z",7,0.7232,FALSE,1,"confirmed","matched","quality_and_current_usage","neutral_placeholder","available","scheduled_game_simulator_development_v1","development_uncalibrated","confirmed; matched; quality_and_current_usage; neutral_placeholder",0.6788,0.0444
"St. Louis Cardinals","Los Angeles Angels",20000,3.93363558340396,4.46228203579097,0.42275,0.57725,4.0556,4.6173,4,4,2,7,2,7,8.6729,9,5,13,0.3629,0.1393,0.5617,"Los Angeles Angels","independent_poisson_score_layer_v1","824004","2026-07-22","2026-07-22T20:07:00Z",8,0.57725,FALSE,1,"confirmed","matched","quality_and_current_usage","neutral_placeholder","available","scheduled_game_simulator_development_v1","development_uncalibrated","confirmed; matched; quality_and_current_usage; neutral_placeholder",0.546,0.03125
"Minnesota Twins","Cleveland Guardians",20000,4.19481716846387,4.59987599142544,0.4415,0.5585,4.33135,4.7564,4,5,2,7,2,8,9.08775,9,5,13,0.35125,0.13205,0.42505,"Cleveland Guardians","independent_poisson_score_layer_v1","824408","2026-07-22","2026-07-22T22:40:00Z",9,0.5585,FALSE,1,"confirmed","matched","quality_and_current_usage","neutral_placeholder","available","scheduled_game_simulator_development_v1","development_uncalibrated","confirmed; matched; quality_and_current_usage; neutral_placeholder",0.5168,0.0417
"Los Angeles Dodgers","Philadelphia Phillies",20000,5.38828439269496,3.47082174869875,0.7446,0.2554,5.4957,3.5599,5,3,3,8,1,6,9.0556,9,5,13,0.2977,0.1106,-1.9358,"Los Angeles Dodgers","independent_poisson_score_layer_v1","823438","2026-07-22","2026-07-22T22:40:00Z",10,0.7446,FALSE,1,"confirmed","fallback","quality_and_current_usage","neutral_placeholder","available","scheduled_game_simulator_development_v1","development_uncalibrated","confirmed; fallback; quality_and_current_usage; neutral_placeholder",0.2892,-0.0338
"Pittsburgh Pirates","New York Yankees",20000,3.91106570147637,5.14952042431306,0.3346,0.6654,4.0342,5.28975,4,5,2,7,2,8,9.32395,9,5,13,0.3262,0.1235,1.25555,"New York Yankees","independent_poisson_score_layer_v1","823519","2026-07-22","2026-07-22T23:05:00Z",11,0.6654,FALSE,0.833333333333333,"conditional","matched","quality_and_current_usage","neutral_placeholder","available","scheduled_game_simulator_development_v1","development_uncalibrated","conditional; matched; quality_and_current_usage; neutral_placeholder",0.6414,0.024
"Tampa Bay Rays","Toronto Blue Jays",20000,4.19933381021021,3.6736830137135,0.5778,0.4222,4.3562,3.8057,4,4,2,7,1,6,8.1619,8,5,12,0.36735,0.13945,-0.5505,"Tampa Bay Rays","independent_poisson_score_layer_v1","822784","2026-07-22","2026-07-22T23:07:00Z",12,0.5778,FALSE,1,"confirmed","matched","quality_and_current_usage","neutral_placeholder","available","scheduled_game_simulator_development_v1","development_uncalibrated","confirmed; matched; quality_and_current_usage; neutral_placeholder",0.4126,0.0096
"Baltimore Orioles","Boston Red Sox",20000,3.91527419616767,3.86319217811704,0.50265,0.49735,4.0664,4.0198,4,4,2,7,2,7,8.0862,8,5,12,0.3739,0.14395,-0.0466,"Baltimore Orioles","independent_poisson_score_layer_v1","824732","2026-07-22","2026-07-22T23:10:00Z",13,0.50265,TRUE,0.833333333333333,"conditional","matched","quality_and_current_usage","neutral_placeholder","available","scheduled_game_simulator_development_v1","development_uncalibrated","conditional; matched; quality_and_current_usage; neutral_placeholder",0.4622,0.03515
"San Diego Padres","Atlanta Braves",20000,3.91317325851297,4.44586500469027,0.42875,0.57125,4.06185,4.5965,4,4,2,7,2,7,8.65835,9,5,13,0.3592,0.1375,0.53465,"Atlanta Braves","independent_poisson_score_layer_v1","824896","2026-07-22","2026-07-22T23:15:00Z",14,0.57125,FALSE,1,"confirmed","matched","quality_and_current_usage","neutral_placeholder","available","scheduled_game_simulator_development_v1","development_uncalibrated","confirmed; matched; quality_and_current_usage; neutral_placeholder",0.5674,0.00385000000000002
"Chicago White Sox","Texas Rangers",20000,3.859774266678,5.31826594945423,0.3206,0.6794,3.9877,5.43555,4,5,1,7,3,8,9.42325,9,5,13,0.3192,0.1187,1.44785,"Texas Rangers","independent_poisson_score_layer_v1","822873","2026-07-22","2026-07-23T00:05:00Z",15,0.6794,FALSE,1,"confirmed","matched","quality_and_current_usage","neutral_placeholder","available","scheduled_game_simulator_development_v1","development_uncalibrated","confirmed; matched; quality_and_current_usage; neutral_placeholder",0.6956,-0.0162
"Detroit Tigers","Chicago Cubs",20000,5.05562253026622,4.77554480843135,0.53435,0.46565,5.19805,4.91685,5,5,2,8,2,8,10.1149,10,6,14,0.33585,0.1256,-0.2812,"Detroit Tigers","independent_poisson_score_layer_v1","824650","2026-07-22","2026-07-23T00:10:00Z",16,0.53435,FALSE,1,"confirmed","matched","quality_and_current_usage","neutral_placeholder","available","scheduled_game_simulator_development_v1","development_uncalibrated","confirmed; matched; quality_and_current_usage; neutral_placeholder",0.4594,0.00625000000000003
"Miami Marlins","Houston Astros",20000,4.92208492843901,4.69292048909606,0.53125,0.46875,5.08375,4.82035,5,5,2,8,2,8,9.9041,10,6,14,0.3426,0.1313,-0.2634,"Miami Marlins","independent_poisson_score_layer_v1","824166","2026-07-22","2026-07-23T00:10:00Z",17,0.53125,FALSE,1,"confirmed","matched","quality_and_current_usage","neutral_placeholder","available","scheduled_game_simulator_development_v1","development_uncalibrated","confirmed; matched; quality_and_current_usage; neutral_placeholder",0.4882,-0.01945
